codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar
351750,3517505,Guapiaçu,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,22445,2025,0,0,0.0,False
351760,3517604,Guapiara,Itapeva,Sorocaba,Itapetininga,17225,2025,12,12,6.97,True
351770,3517703,Guará,Ituverava,Ribeirão Preto,Ribeirão Preto,18748,2025,50,46,24.54,True
351780,3517802,Guaraçaí,Andradina,Araçatuba,Araçatuba,7453,2025,23,15,20.13,True
351790,3517901,Guaraci,Barretos,Ribeirão Preto,São José do Rio Preto,10554,2025,0,0,0.0,False
351800,3518008,Guarani d'Oeste,Fernandópolis,São José do Rio Preto,São José do Rio Preto,1999,2025,0,0,0.0,False
351810,3518107,Guarantã,Lins,Bauru,Bauru,6532,2025,0,0,0.0,False
351820,3518206,Guararapes,Araçatuba,Araçatuba,Araçatuba,31888,2025,74,63,19.76,True
351830,3518305,Guararema,São Paulo,São Paulo,Metropolitana de São Paulo,32620,2025,31,29,8.89,True
351840,3518404,Guaratinguetá,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista,121916,2025,291,207,16.98,True
351850,3518503,Guareí,Itapetininga,Sorocaba,Itapetininga,15285,2025,0,0,0.0,False
351860,3518602,Guariba,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,38678,2025,61,53,13.7,True
351870,3518701,Guarujá,Santos,São Paulo,Metropolitana de São Paulo,294871,2025,396,312,10.58,True
351880,3518800,Guarulhos,São Paulo,São Paulo,Metropolitana de São Paulo,1349100,2025,1924,1417,10.5,True
351885,3518859,Guatapará,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,7474,2025,0,0,0.0,False
351890,3518909,Guzolândia,Araçatuba,Araçatuba,São José do Rio Preto,4259,2025,0,0,0.0,False
351900,3519006,Herculândia,Tupã,Marília,Marília,9316,2025,58,58,62.26,True
351905,3519055,Holambra,Campinas,Campinas,Campinas,15718,2025,0,0,0.0,False
351907,3519071,Hortolândia,Campinas,Campinas,Campinas,248842,2025,125,103,4.14,True
351910,3519105,Iacanga,Bauru,Bauru,Bauru,10648,2025,30,28,26.3,True
351920,3519204,Iacri,Tupã,Marília,Marília,6197,2025,0,0,0.0,False
351925,3519253,Iaras,Avaré,Sorocaba,Bauru,8313,2025,0,0,0.0,False
351930,3519303,Ibaté,São Carlos,Araraquara,Araraquara,33160,2025,30,29,8.75,True
351940,3519402,Ibirá,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,11952,2025,27,9,7.53,True
351950,3519501,Ibirarema,Ourinhos,Marília,Assis,6450,2025,0,0,0.0,False
351960,3519600,Ibitinga,Araraquara,Araraquara,Araraquara,62143,2025,109,57,9.17,True
351970,3519709,Ibiúna,Sorocaba,Sorocaba,Macro Metropolitana Paulista,77801,2025,315,63,8.1,True
351980,3519808,Icém,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,7982,2025,0,0,0.0,False
351990,3519907,Iepê,Presidente Prudente,Presidente Prudente,Assis,7739,2025,20,20,25.84,True
352000,3520004,Igaraçu do Tietê,Jaú,Bauru,Bauru,23421,2025,0,0,0.0,False
352010,3520103,Igarapava,Ituverava,Ribeirão Preto,Ribeirão Preto,26696,2025,46,36,13.49,True
352020,3520202,Igaratá,São José dos Campos,São José dos Campos,Vale do Paraíba Paulista,10984,2025,8,8,7.28,True
352030,3520301,Iguape,Registro,Sorocaba,Litoral Sul Paulista,29891,2025,0,0,0.0,False
352040,3520400,Ilhabela,Caraguatatuba - Ubatuba - São Sebastião,São José dos Campos,Vale do Paraíba Paulista,36559,2025,47,47,12.86,True
352042,3520426,Ilha Comprida,Registro,Sorocaba,Litoral Sul Paulista,14104,2025,0,0,0.0,False
352044,3520442,Ilha Solteira,Andradina,Araçatuba,Araçatuba,26257,2025,71,67,25.52,True
352050,3520509,Indaiatuba,Campinas,Campinas,Campinas,269657,2025,431,246,9.12,True
352060,3520608,Indiana,Presidente Prudente,Presidente Prudente,Presidente Prudente,5200,2025,0,0,0.0,False
352070,3520707,Indiaporã,Fernandópolis,São José do Rio Preto,São José do Rio Preto,4113,2025,36,4,9.73,True
352080,3520806,Inúbia Paulista,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente,3671,2025,0,0,0.0,False
352090,3520905,Ipaussu,Ourinhos,Marília,Assis,13935,2025,49,28,20.09,True
352100,3521002,Iperó,Sorocaba,Sorocaba,Macro Metropolitana Paulista,38277,2025,15,15,3.92,True
352110,3521101,Ipeúna,Rio Claro,Campinas,Piracicaba,7027,2025,0,0,0.0,False
352115,3521150,Ipiguá,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,7115,2025,0,0,0.0,False
352120,3521200,Iporanga,Registro,Sorocaba,Itapetininga,4083,2025,0,0,0.0,False
352130,3521309,Ipuã,São Joaquim da Barra ¿ Orlândia,Ribeirão Preto,Ribeirão Preto,14701,2025,50,43,29.25,True
