posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
128,355640,Vargem Grande do Sul,56.5,61.5,52.77,8.48,-0.3,2177,35,41256,"XV. Gravidez, parto e puerpério",Adequado
129,350210,Andradina,56.3,66.5,54.39,9.57,-10.1,3352,59,61625,"XV. Gravidez, parto e puerpério",Adequado
130,350900,Caieiras,56.0,48.1,52.28,8.22,25.4,5152,81,98549,"XV. Gravidez, parto e puerpério",Adequado
131,351970,Ibiúna,56.0,62.1,55.28,8.1,-7.2,4301,63,77801,XIX. Lesões e envenenamentos por causas externas,Adequado
132,355400,Tatuí,55.7,61.0,38.51,6.66,3.8,4973,86,129130,"XV. Gravidez, parto e puerpério",Adequado
133,352670,Leme,55.6,60.7,53.5,8.47,-3.7,5432,86,101537,"XV. Gravidez, parto e puerpério",Adequado
134,353440,Osasco,55.5,65.7,35.81,8.48,0.5,27200,644,759524,XIX. Lesões e envenenamentos por causas externas,Adequado
135,351870,Guarujá,55.3,68.1,44.28,10.58,-6.7,13057,312,294871,"XV. Gravidez, parto e puerpério",Adequado
136,353010,Mirandópolis,55.1,52.6,121.9,27.82,8.5,3505,80,28754,X. Doenças do aparelho respiratório,Adequado
137,354260,Registro,54.9,48.0,146.33,31.33,6.5,9062,194,61927,XI. Doenças do aparelho digestivo,Adequado
138,354560,Santa Adélia,54.8,48.5,77.22,13.39,12.5,1096,19,14193,IX. Doenças do aparelho circulatório,Adequado
139,355700,Votorantim,54.4,64.9,29.11,4.79,-7.8,3887,64,133510,"XV. Gravidez, parto e puerpério",Adequado
140,352320,Itararé,54.3,45.3,92.23,11.28,-1.9,4170,51,45213,XIX. Lesões e envenenamentos por causas externas,Adequado
141,353900,Pirangi,54.3,34.0,143.08,19.85,3.2,1586,22,11085,X. Doenças do aparelho respiratório,Adequado
142,352720,Lorena,54.1,59.6,53.72,12.12,1.9,4699,106,87468,"XV. Gravidez, parto e puerpério",Adequado
