posicao,codigo,municipio,indice_criticidade,ocupacao_estimada_pct,internacoes_mil_hab,leitos_sus_10k_hab,variacao_trimestral_pct,internacoes_12m,leitos_sus,populacao,perfil_dominante,alerta_capacidade
93,354070,Porto Ferreira,62.0,70.0,45.55,6.11,6.7,2458,33,53966,"XV. Gravidez, parto e puerpério",Adequado
94,351390,Divinolândia,61.9,73.9,415.21,164.53,-1.7,4694,186,11305,XI. Doenças do aparelho digestivo,Adequado
95,352530,Jaú,61.5,71.1,198.25,41.41,2.3,27242,569,137409,II. Neoplasias (tumores),Adequado
96,354770,Santo Anastácio,61.0,54.9,119.1,20.04,11.2,2139,36,17960,XIV. Doenças do aparelho geniturinário,Adequado
97,350170,Américo Brasiliense,60.8,65.2,200.25,43.91,11.6,6750,148,33708,VII. Doenças do olho e anexos,Adequado
98,355250,Suzano,60.6,90.4,26.31,5.65,-28.2,8426,181,320261,"XV. Gravidez, parto e puerpério",Atenção
99,355030,São Paulo,60.5,72.7,63.12,13.01,-1.3,751452,15485,11904961,"XV. Gravidez, parto e puerpério",Adequado
100,354425,Rosana,60.3,72.5,179.48,40.15,-6.3,3129,70,17434,XI. Doenças do aparelho digestivo,Adequado
101,352410,Ituverava,60.3,68.9,95.96,14.32,-18.2,3686,55,38413,XIV. Doenças do aparelho geniturinário,Adequado
102,354730,Santana de Parnaíba,60.3,71.4,24.31,4.27,10.0,3981,70,163787,"XV. Gravidez, parto e puerpério",Adequado
103,355370,Taquaritinga,60.2,56.1,83.19,12.95,15.4,4431,69,53264,"XV. Gravidez, parto e puerpério",Adequado
104,352680,Lençóis Paulista,60.2,63.3,45.4,6.27,13.0,3113,43,68568,"XV. Gravidez, parto e puerpério",Adequado
105,352600,Junqueirópolis,60.2,80.9,54.68,11.94,-15.7,1145,25,20939,V. Transtornos mentais e comportamentais,Adequado
106,352390,Itu,59.5,83.1,48.27,17.37,-2.7,8449,304,175047,"XV. Gravidez, parto e puerpério",Adequado
107,355380,Taquarituba,59.3,43.6,87.28,12.83,44.0,2176,32,24932,XI. Doenças do aparelho digestivo,Adequado
108,350420,Auriflama,59.3,36.9,194.28,25.26,29.7,2692,35,13856,XI. Doenças do aparelho digestivo,Adequado
109,351620,Franca,59.3,68.7,68.74,14.86,2.2,25125,543,365494,"XV. Gravidez, parto e puerpério",Adequado
110,355070,São Sebastião,59.2,61.7,75.69,12.1,2.5,6379,102,84280,"XV. Gravidez, parto e puerpério",Adequado
111,350100,Altinópolis,59.0,52.3,109.38,11.05,-10.2,1881,19,17197,XIX. Lesões e envenenamentos por causas externas,Adequado
112,350635,Bertioga,59.0,57.8,55.92,10.97,23.6,3771,74,67436,"XV. Gravidez, parto e puerpério",Adequado
113,352640,Laranjal Paulista,58.9,57.8,60.31,10.35,17.9,1631,28,27044,"XV. Gravidez, parto e puerpério",Adequado
114,355500,Tupã,58.6,77.2,120.73,50.13,1.1,7900,328,65433,XI. Doenças do aparelho digestivo,Adequado
115,353130,Monte Alto,58.6,74.0,52.16,8.61,-16.3,2543,42,48758,XI. Doenças do aparelho digestivo,Adequado
116,350160,Americana,58.5,74.8,37.87,6.02,-13.5,9375,149,247571,"XV. Gravidez, parto e puerpério",Adequado
117,350940,Cajuru,58.5,51.5,134.98,22.7,0.8,3271,55,24233,XI. Doenças do aparelho digestivo,Adequado
118,352340,Itatiba,58.3,66.9,55.36,7.55,-8.1,7037,96,127112,XIV. Doenças do aparelho geniturinário,Adequado
119,352710,Lins,58.1,75.0,104.72,33.83,7.3,8047,260,76844,V. Transtornos mentais e comportamentais,Adequado
120,350870,Caconde,57.8,81.6,112.03,38.31,-4.4,1930,66,17228,XI. Doenças do aparelho digestivo,Adequado
121,353300,Nova Granada,57.8,51.1,99.63,15.71,8.7,1966,31,19733,X. Doenças do aparelho respiratório,Adequado
122,350330,Araras,57.7,55.4,59.3,13.26,26.6,8050,180,135744,IX. Doenças do aparelho circulatório,Adequado
123,354220,Rancharia,57.7,43.1,152.14,24.16,6.1,4471,71,29387,X. Doenças do aparelho respiratório,Adequado
124,354330,Ribeirão Pires,57.3,70.2,15.8,3.53,5.8,1879,42,118954,"XV. Gravidez, parto e puerpério",Adequado
125,352850,Mairiporã,57.1,59.8,29.21,3.99,15.5,2858,39,97835,XIX. Lesões e envenenamentos por causas externas,Adequado
126,350450,Avaré,57.1,61.6,80.49,14.72,-3.5,7763,142,96450,XIX. Lesões e envenenamentos por causas externas,Adequado
127,351540,Fartura,56.9,67.7,54.61,7.05,-17.3,930,12,17029,X. Doenças do aparelho respiratório,Adequado
