codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao,populacao,ano,leitos_existentes,leitos_sus,leitos_sus_10k_hab,tem_rede_hospitalar,internacoes_12m,valor_total_12m,media_permanencia,internacoes_ult_trim,internacoes_prim_trim,variacao_trimestral_pct,perfil_dominante,internacoes_mil_hab,giro_leito_ano,ocupacao_estimada_pct,custo_medio_internacao,perfil_permanencia,alerta_capacidade
351880,3518800,Guarulhos,São Paulo,São Paulo,Metropolitana de São Paulo,1349100,2025,1924,1417,10.5,True,56988,97389251.01,8.16,13823.0,14826.0,-6.8,"XV. Gravidez, parto e puerpério",42.24,40.2,89.9,1708.94,Permanência elevada,Atenção
351885,3518859,Guatapará,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,7474,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351890,3518909,Guzolândia,Araçatuba,Araçatuba,São José do Rio Preto,4259,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351900,3519006,Herculândia,Tupã,Marília,Marília,9316,2025,58,58,62.26,True,765,281076.93,3.55,210.0,182.0,15.4,X. Doenças do aparelho respiratório,82.12,13.2,12.8,367.42,Agudos,Adequado
351905,3519055,Holambra,Campinas,Campinas,Campinas,15718,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351907,3519071,Hortolândia,Campinas,Campinas,Campinas,248842,2025,125,103,4.14,True,5739,5475326.58,3.85,1322.0,1552.0,-14.8,"XV. Gravidez, parto e puerpério",23.06,55.7,58.8,954.06,Agudos,Adequado
351910,3519105,Iacanga,Bauru,Bauru,Bauru,10648,2025,30,28,26.3,True,788,192313.49,2.28,210.0,230.0,-8.7,XIX. Lesões e envenenamentos por causas externas,74.0,28.1,17.6,244.05,Agudos,Adequado
351920,3519204,Iacri,Tupã,Marília,Marília,6197,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351925,3519253,Iaras,Avaré,Sorocaba,Bauru,8313,2025,0,0,0.0,False,0,0.0,0.0,,,,,0.0,,,0.0,Sem internações,Não aplicável
351930,3519303,Ibaté,São Carlos,Araraquara,Araraquara,33160,2025,30,29,8.75,True,958,723352.39,2.89,273.0,250.0,9.2,"XV. Gravidez, parto e puerpério",28.89,33.0,26.2,755.07,Agudos,Adequado
