codigo,municipio,leitos_existentes,leitos_sus
350760,BRAGANCA PAULISTA,342,206
350770,BRAUNA,0,0
350775,BREJO ALEGRE,0,0
350780,BRODOWSKI,0,0
350790,BROTAS,53,35
350800,BURI,0,0
350810,BURITAMA,38,24
350820,BURITIZAL,0,0
350830,CABRALIA PAULISTA,0,0
350840,CABREUVA,22,19
350850,CACAPAVA,472,413
350860,CACHOEIRA PAULISTA,62,62
350870,CACONDE,66,66
350880,CAFELANDIA,45,34
350890,CAIABU,0,0
350900,CAIEIRAS,135,81
350910,CAIUA,0,0
350920,CAJAMAR,139,39
350925,CAJATI,0,0
350930,CAJOBI,32,26
350940,CAJURU,73,55
350945,CAMPINA DO MONTE ALEGRE,0,0
350950,CAMPINAS,2833,1406
350960,CAMPO LIMPO PAULISTA,54,54
350970,CAMPOS DO JORDAO,211,185
350980,CAMPOS NOVOS PAULISTA,0,0
350990,CANANEIA,0,0
350995,CANAS,0,0
351000,CANDIDO MOTA,30,25
351010,CANDIDO RODRIGUES,0,0
351015,CANITAR,0,0
351020,CAPAO BONITO,46,37
351030,CAPELA DO ALTO,17,0
351040,CAPIVARI,104,65
351050,CARAGUATATUBA,319,262
351060,CARAPICUIBA,230,203
351070,CARDOSO,31,10
351080,CASA BRANCA,250,239
351090,CASSIA DOS COQUEIROS,0,0
351100,CASTILHO,31,30
351110,CATANDUVA,638,377
351120,CATIGUA,0,0
351130,CEDRAL,0,0
351140,CERQUEIRA CESAR,38,35
351150,CERQUILHO,41,26
351160,CESARIO LANGE,27,23
351170,CHARQUEADA,35,28
351190,CLEMENTINA,24,21
351200,COLINA,41,32
351210,COLOMBIA,20,20
351220,CONCHAL,50,40
351230,CONCHAS,15,14
351240,CORDEIROPOLIS,0,0
351250,COROADOS,0,0
351260,CORONEL MACEDO,2,2
351270,CORUMBATAI,2,2
351280,COSMOPOLIS,61,34
351290,COSMORAMA,0,0
351300,COTIA,444,138
351310,CRAVINHOS,15,13
351320,CRISTAIS PAULISTA,0,0
351330,CRUZALIA,0,0
351340,CRUZEIRO,179,141
351350,CUBATAO,109,109
351360,CUNHA,40,25
351370,DESCALVADO,40,25
351380,DIADEMA,432,432
351385,DIRCE REIS,0,0
351390,DIVINOLANDIA,186,186
351400,DOBRADA,0,0
351410,DOIS CORREGOS,67,47
351420,DOLCINOPOLIS,0,0
351430,DOURADO,10,10
351440,DRACENA,148,108
351450,DUARTINA,39,35
351460,DUMONT,0,0
351470,ECHAPORA,0,0
351480,ELDORADO,0,0
351490,ELIAS FAUSTO,6,6
351492,ELISIARIO,0,0
351495,EMBAUBA,0,0
351500,EMBU DAS ARTES,99,89
351510,EMBU-GUACU,17,17
351512,EMILIANOPOLIS,0,0
351515,ENGENHEIRO COELHO,0,0
351518,ESPIRITO SANTO DO PINHAL,674,298
351519,ESPIRITO SANTO DO TURVO,0,0
351520,ESTRELA D'OESTE,51,27
351530,ESTRELA DO NORTE,0,0
351535,EUCLIDES DA CUNHA PAULISTA,0,0
351540,FARTURA,20,12
351550,FERNANDOPOLIS,135,84
351560,FERNANDO PRESTES,0,0
351565,FERNAO,0,0
351570,FERRAZ DE VASCONCELOS,178,178
351580,FLORA RICA,0,0
351590,FLOREAL,0,0
351600,FLORIDA PAULISTA,47,30
351610,FLORINEA,0,0
351620,FRANCA,746,543
351630,FRANCISCO MORATO,150,150
351640,FRANCO DA ROCHA,455,384
351650,GABRIEL MONTEIRO,0,0
351660,GALIA,45,27
351670,GARCA,269,221
351680,GASTAO VIDIGAL,0,0
351685,GAVIAO PEIXOTO,0,0
351690,GENERAL SALGADO,28,19
351700,GETULINA,38,33
351710,GLICERIO,0,0
351720,GUAICARA,0,0
351730,GUAIMBE,0,0
351740,GUAIRA,51,38
351750,GUAPIACU,0,0
351760,GUAPIARA,12,12
351770,GUARA,50,46
351780,GUARACAI,23,15
351790,GUARACI,0,0
351800,GUARANI D'OESTE,0,0
351810,GUARANTA,0,0
351820,GUARARAPES,74,63
351830,GUARAREMA,31,29
351840,GUARATINGUETA,291,207
351850,GUAREI,0,0
351860,GUARIBA,61,53
351870,GUARUJA,396,312
351880,GUARULHOS,1924,1417
351885,GUATAPARA,0,0
351890,GUZOLANDIA,0,0
351900,HERCULANDIA,58,58
351905,HOLAMBRA,0,0
351907,HORTOLANDIA,125,103
351910,IACANGA,30,28
351920,IACRI,0,0
351925,IARAS,0,0
351930,IBATE,30,29
351940,IBIRA,27,9
351950,IBIRAREMA,0,0
351960,IBITINGA,109,57
351970,IBIUNA,315,63
351980,ICEM,0,0
351990,IEPE,20,20
352000,IGARACU DO TIETE,0,0
352010,IGARAPAVA,46,36
352020,IGARATA,8,8
352030,IGUAPE,0,0
352040,ILHABELA,47,47
352042,ILHA COMPRIDA,0,0
352044,ILHA SOLTEIRA,71,67
352050,INDAIATUBA,431,246
352060,INDIANA,0,0
352070,INDIAPORA,36,4
352080,INUBIA PAULISTA,0,0
352090,IPAUSSU,49,28
352100,IPERO,15,15
352110,IPEUNA,0,0
352115,IPIGUA,0,0
352120,IPORANGA,0,0
352130,IPUA,50,43
352140,IRACEMAPOLIS,3,3
352150,IRAPUA,0,0
352160,IRAPURU,0,0
352170,ITABERA,19,19
352180,ITAI,35,33
352190,ITAJOBI,50,35
352200,ITAJU,0,0
352210,ITANHAEM,141,137
352215,ITAOCA,0,0
352220,ITAPECERICA DA SERRA,704,195
352230,ITAPETININGA,216,166
352240,ITAPEVA,158,109
352250,ITAPEVI,351,224
352260,ITAPIRA,904,381
352265,ITAPIRAPUA PAULISTA,0,0
352270,ITAPOLIS,69,43
352280,ITAPORANGA,38,32
352290,ITAPUI,35,35
352300,ITAPURA,0,0
352310,ITAQUAQUECETUBA,267,267
352320,ITARARE,78,51
352330,ITARIRI,0,0
352340,ITATIBA,156,96
352350,ITATINGA,14,7
352360,ITIRAPINA,10,10
352370,ITIRAPUA,0,0
352380,ITOBI,0,0
352390,ITU,416,304
352400,ITUPEVA,86,48
352410,ITUVERAVA,123,55
352420,JABORANDI,17,17
352430,JABOTICABAL,262,38
352440,JACAREI,325,204
352450,JACI,249,173
352460,JACUPIRANGA,0,0
352470,JAGUARIUNA,120,84
352480,JALES,153,103
352490,JAMBEIRO,0,0
352500,JANDIRA,15,0
352510,JARDINOPOLIS,0,0
352520,JARINU,29,17
352530,JAU,783,569
352540,JERIQUARA,0,0
352550,JOANOPOLIS,12,12
352560,JOAO RAMALHO,0,0
352570,JOSE BONIFACIO,67,43
352580,JULIO MESQUITA,0,0
352585,JUMIRIM,0,0
352590,JUNDIAI,958,443
352600,JUNQUEIROPOLIS,52,25
352610,JUQUIA,0,0
352620,JUQUITIBA,0,0
352630,LAGOINHA,0,0
352640,LARANJAL PAULISTA,46,28
352650,LAVINIA,0,0
352660,LAVRINHAS,0,0
352670,LEME,150,86
352680,LENCOIS PAULISTA,171,43
352690,LIMEIRA,354,179
352700,LINDOIA,0,0
352710,LINS,333,260
352720,LORENA,177,106
352725,LOURDES,0,0
352730,LOUVEIRA,39,35
352740,LUCELIA,32,26
352750,LUCIANOPOLIS,0,0
352760,LUIS ANTONIO,0,0
352770,LUIZIANIA,0,0
352780,LUPERCIO,0,0
352790,LUTECIA,0,0
352800,MACATUBA,31,18
352810,MACAUBAL,15,10
352820,MACEDONIA,0,0
352830,MAGDA,0,0
352840,MAIRINQUE,0,0
352850,MAIRIPORA,39,39
352860,MANDURI,0,0
352870,MARABA PAULISTA,0,0
352880,MARACAI,26,22
352885,MARAPOAMA,0,0
352890,MARIAPOLIS,0,0
352900,MARILIA,883,601
352910,MARINOPOLIS,0,0
352920,MARTINOPOLIS,49,43
352930,MATAO,277,86
352940,MAUA,496,246
352950,MENDONCA,0,0
352960,MERIDIANO,0,0
352965,MESOPOLIS,0,0
352970,MIGUELOPOLIS,72,51
352980,MINEIROS DO TIETE,11,11
352990,MIRACATU,0,0
353000,MIRA ESTRELA,0,0
353010,MIRANDOPOLIS,80,80
353020,MIRANTE DO PARANAPANEMA,23,23
353030,MIRASSOL,167,0
353040,MIRASSOLANDIA,0,0
353050,MOCOCA,125,82
353060,MOGI DAS CRUZES,854,617
353070,MOGI GUACU,331,155
353080,MOGI MIRIM,172,109
353090,MOMBUCA,0,0
353100,MONCOES,0,0
