codigo,municipio,periodo,media_permanencia
350670,BOA ESPERANCA DO SUL,2026/Mai,4.2
350670,BOA ESPERANCA DO SUL,2026/Jun,3.3
350680,BOCAINA,2025/Jul,3.2
350680,BOCAINA,2025/Ago,3.5
350680,BOCAINA,2025/Set,3.3
350680,BOCAINA,2025/Out,2.6
350680,BOCAINA,2025/Nov,2.6
350680,BOCAINA,2025/Dez,3.0
350680,BOCAINA,2026/Jan,3.0
350680,BOCAINA,2026/Fev,2.3
350680,BOCAINA,2026/Mar,1.7
350680,BOCAINA,2026/Abr,1.9
350680,BOCAINA,2026/Mai,2.3
350680,BOCAINA,2026/Jun,3.8
350700,BOITUVA,2025/Jul,3.1
350700,BOITUVA,2025/Ago,3.6
350700,BOITUVA,2025/Set,3.0
350700,BOITUVA,2025/Out,3.2
350700,BOITUVA,2025/Nov,3.1
350700,BOITUVA,2025/Dez,3.3
350700,BOITUVA,2026/Jan,2.8
350700,BOITUVA,2026/Fev,2.8
350700,BOITUVA,2026/Mar,3.1
350700,BOITUVA,2026/Abr,2.9
350700,BOITUVA,2026/Mai,2.6
350700,BOITUVA,2026/Jun,2.8
350710,BOM JESUS DOS PERDOES,2025/Jul,6.0
350710,BOM JESUS DOS PERDOES,2025/Ago,4.8
350710,BOM JESUS DOS PERDOES,2025/Set,7.8
350710,BOM JESUS DOS PERDOES,2025/Out,10.4
350710,BOM JESUS DOS PERDOES,2025/Nov,4.0
350710,BOM JESUS DOS PERDOES,2025/Dez,3.9
350710,BOM JESUS DOS PERDOES,2026/Jan,4.2
350710,BOM JESUS DOS PERDOES,2026/Fev,5.3
350710,BOM JESUS DOS PERDOES,2026/Mar,4.3
350710,BOM JESUS DOS PERDOES,2026/Abr,7.3
350710,BOM JESUS DOS PERDOES,2026/Mai,7.1
350740,BORBOREMA,2025/Jul,3.3
350740,BORBOREMA,2025/Ago,3.3
350740,BORBOREMA,2025/Set,3.2
350740,BORBOREMA,2025/Out,2.8
350740,BORBOREMA,2025/Nov,4.8
350740,BORBOREMA,2025/Dez,3.5
350740,BORBOREMA,2026/Jan,4.9
350740,BORBOREMA,2026/Fev,5.0
350740,BORBOREMA,2026/Mar,3.1
350740,BORBOREMA,2026/Abr,4.0
350740,BORBOREMA,2026/Mai,3.1
350740,BORBOREMA,2026/Jun,3.9
350750,BOTUCATU,2025/Jul,5.9
350750,BOTUCATU,2025/Ago,5.9
350750,BOTUCATU,2025/Set,5.6
350750,BOTUCATU,2025/Out,5.5
350750,BOTUCATU,2025/Nov,5.5
350750,BOTUCATU,2025/Dez,5.6
350750,BOTUCATU,2026/Jan,5.9
350750,BOTUCATU,2026/Fev,5.9
350750,BOTUCATU,2026/Mar,5.7
350750,BOTUCATU,2026/Abr,6.3
350750,BOTUCATU,2026/Mai,5.9
350750,BOTUCATU,2026/Jun,6.0
350760,BRAGANCA PAULISTA,2025/Jul,4.2
350760,BRAGANCA PAULISTA,2025/Ago,3.5
350760,BRAGANCA PAULISTA,2025/Set,3.4
350760,BRAGANCA PAULISTA,2025/Out,3.6
350760,BRAGANCA PAULISTA,2025/Nov,3.6
350760,BRAGANCA PAULISTA,2025/Dez,3.3
350760,BRAGANCA PAULISTA,2026/Jan,4.1
350760,BRAGANCA PAULISTA,2026/Fev,3.7
350760,BRAGANCA PAULISTA,2026/Mar,3.7
350760,BRAGANCA PAULISTA,2026/Abr,3.8
350760,BRAGANCA PAULISTA,2026/Mai,3.7
350760,BRAGANCA PAULISTA,2026/Jun,4.0
350790,BROTAS,2025/Jul,7.2
350790,BROTAS,2025/Ago,5.3
350790,BROTAS,2025/Set,6.4
350790,BROTAS,2025/Out,6.1
350790,BROTAS,2025/Nov,5.6
350790,BROTAS,2025/Dez,7.1
350790,BROTAS,2026/Jan,6.6
350790,BROTAS,2026/Fev,6.7
350790,BROTAS,2026/Mar,6.7
350790,BROTAS,2026/Abr,6.8
350790,BROTAS,2026/Mai,9.5
350790,BROTAS,2026/Jun,9.5
350810,BURITAMA,2025/Jul,2.2
350810,BURITAMA,2025/Ago,2.7
350810,BURITAMA,2025/Set,2.7
350810,BURITAMA,2025/Out,2.4
350810,BURITAMA,2025/Nov,2.7
350810,BURITAMA,2025/Dez,2.2
350810,BURITAMA,2026/Jan,2.6
350810,BURITAMA,2026/Fev,2.3
350810,BURITAMA,2026/Mar,2.2
350810,BURITAMA,2026/Abr,2.4
350810,BURITAMA,2026/Mai,1.9
350810,BURITAMA,2026/Jun,2.4
350840,CABREUVA,2025/Jul,4.3
350840,CABREUVA,2025/Ago,2.2
350840,CABREUVA,2025/Set,2.0
350840,CABREUVA,2025/Nov,2.8
350840,CABREUVA,2025/Dez,2.9
350840,CABREUVA,2026/Jan,3.6
350840,CABREUVA,2026/Fev,2.7
350840,CABREUVA,2026/Mar,2.3
350840,CABREUVA,2026/Abr,3.1
350840,CABREUVA,2026/Mai,2.6
350840,CABREUVA,2026/Jun,2.6
350850,CACAPAVA,2025/Jul,4.4
350850,CACAPAVA,2025/Ago,3.9
350850,CACAPAVA,2025/Set,4.6
350850,CACAPAVA,2025/Out,4.1
350850,CACAPAVA,2025/Nov,4.8
350850,CACAPAVA,2025/Dez,5.3
350850,CACAPAVA,2026/Jan,4.6
350850,CACAPAVA,2026/Fev,4.8
350850,CACAPAVA,2026/Mar,4.1
350850,CACAPAVA,2026/Abr,5.0
350850,CACAPAVA,2026/Mai,4.0
350850,CACAPAVA,2026/Jun,4.9
350870,CACONDE,2025/Jul,8.3
350870,CACONDE,2025/Ago,8.8
350870,CACONDE,2025/Set,8.4
350870,CACONDE,2025/Out,9.2
350870,CACONDE,2025/Nov,8.8
350870,CACONDE,2025/Dez,11.9
350870,CACONDE,2026/Jan,21.3
350870,CACONDE,2026/Fev,9.5
350870,CACONDE,2026/Mar,9.5
350870,CACONDE,2026/Abr,8.6
350870,CACONDE,2026/Mai,9.4
350870,CACONDE,2026/Jun,8.4
350880,CAFELANDIA,2025/Jul,2.4
350880,CAFELANDIA,2025/Ago,2.8
350880,CAFELANDIA,2025/Set,2.8
350880,CAFELANDIA,2025/Out,2.7
350880,CAFELANDIA,2025/Nov,2.2
350880,CAFELANDIA,2025/Dez,2.2
350880,CAFELANDIA,2026/Jan,3.2
350880,CAFELANDIA,2026/Fev,2.9
350880,CAFELANDIA,2026/Mar,3.6
350880,CAFELANDIA,2026/Abr,3.8
350880,CAFELANDIA,2026/Mai,2.6
350880,CAFELANDIA,2026/Jun,3.2
350900,CAIEIRAS,2025/Jul,3.0
350900,CAIEIRAS,2025/Ago,2.8
350900,CAIEIRAS,2025/Set,2.7
350900,CAIEIRAS,2025/Out,2.9
350900,CAIEIRAS,2025/Nov,2.8
350900,CAIEIRAS,2025/Dez,2.5
350900,CAIEIRAS,2026/Jan,3.4
350900,CAIEIRAS,2026/Fev,2.6
350900,CAIEIRAS,2026/Mar,2.7
350900,CAIEIRAS,2026/Abr,2.5
350900,CAIEIRAS,2026/Mai,2.6
350900,CAIEIRAS,2026/Jun,2.6
350920,CAJAMAR,2025/Jul,3.1
350920,CAJAMAR,2025/Ago,3.8
350920,CAJAMAR,2025/Set,3.7
350920,CAJAMAR,2025/Out,3.5
350920,CAJAMAR,2025/Nov,3.9
350920,CAJAMAR,2025/Dez,3.2
350920,CAJAMAR,2026/Jan,3.5
350920,CAJAMAR,2026/Fev,3.1
350920,CAJAMAR,2026/Mar,3.5
350920,CAJAMAR,2026/Abr,3.7
350920,CAJAMAR,2026/Mai,3.6
350920,CAJAMAR,2026/Jun,4.1
350930,CAJOBI,2025/Jul,2.7
350930,CAJOBI,2025/Ago,6.7
350930,CAJOBI,2025/Set,2.5
350930,CAJOBI,2025/Out,2.4
350930,CAJOBI,2025/Nov,2.0
350930,CAJOBI,2025/Dez,2.2
350930,CAJOBI,2026/Jan,2.0
350930,CAJOBI,2026/Mar,2.1
350930,CAJOBI,2026/Abr,2.9
350930,CAJOBI,2026/Mai,2.7
350930,CAJOBI,2026/Jun,2.7
350940,CAJURU,2025/Jul,3.4
350940,CAJURU,2025/Ago,3.0
350940,CAJURU,2025/Set,3.2
350940,CAJURU,2025/Out,3.6
350940,CAJURU,2025/Nov,3.0
350940,CAJURU,2025/Dez,3.0
350940,CAJURU,2026/Jan,3.0
350940,CAJURU,2026/Fev,3.2
350940,CAJURU,2026/Mar,3.1
350940,CAJURU,2026/Abr,3.0
350940,CAJURU,2026/Mai,3.6
350940,CAJURU,2026/Jun,2.8
