codigo,codigo_ibge,municipio,populacao,ano
352660,3526605,Lavrinhas - SP,7348,2025
352670,3526704,Leme - SP,101537,2025
352680,3526803,Lençóis Paulista - SP,68568,2025
352690,3526902,Limeira - SP,301292,2025
352700,3527009,Lindóia - SP,7158,2025
352710,3527108,Lins - SP,76844,2025
352720,3527207,Lorena - SP,87468,2025
352725,3527256,Lourdes - SP,1962,2025
352730,3527306,Louveira - SP,54865,2025
352740,3527405,Lucélia - SP,20378,2025
352750,3527504,Lucianópolis - SP,2423,2025
352760,3527603,Luís Antônio - SP,12564,2025
352770,3527702,Luiziânia - SP,4740,2025
352780,3527801,Lupércio - SP,4004,2025
352790,3527900,Lutécia - SP,2697,2025
352800,3528007,Macatuba - SP,17140,2025
352810,3528106,Macaubal - SP,7581,2025
352820,3528205,Macedônia - SP,4058,2025
352830,3528304,Magda - SP,3211,2025
352840,3528403,Mairinque - SP,51888,2025
352850,3528502,Mairiporã - SP,97835,2025
352860,3528601,Manduri - SP,10122,2025
352870,3528700,Marabá Paulista - SP,4619,2025
352880,3528809,Maracaí - SP,12804,2025
352885,3528858,Marapoama - SP,3415,2025
352890,3528908,Mariápolis - SP,3526,2025
352900,3529005,Marília - SP,247348,2025
352910,3529104,Marinópolis - SP,1862,2025
352920,3529203,Martinópolis - SP,25240,2025
352930,3529302,Matão - SP,81075,2025
352940,3529401,Mauá - SP,429014,2025
352950,3529500,Mendonça - SP,6420,2025
352960,3529609,Meridiano - SP,4721,2025
352965,3529658,Mesópolis - SP,1990,2025
352970,3529708,Miguelópolis - SP,19621,2025
352980,3529807,Mineiros do Tietê - SP,11322,2025
352990,3529906,Miracatu - SP,18610,2025
353000,3530003,Mira Estrela - SP,3209,2025
353010,3530102,Mirandópolis - SP,28754,2025
353020,3530201,Mirante do Paranapanema - SP,16031,2025
353030,3530300,Mirassol - SP,65811,2025
353040,3530409,Mirassolândia - SP,4783,2025
353050,3530508,Mococa - SP,69372,2025
353060,3530607,Mogi das Cruzes - SP,470302,2025
353070,3530706,Mogi Guaçu - SP,160318,2025
353080,3530805,Mogi Mirim - SP,95742,2025
353090,3530904,Mombuca - SP,3830,2025
353100,3531001,Monções - SP,1947,2025
353110,3531100,Mongaguá - SP,64845,2025
353120,3531209,Monte Alegre do Sul - SP,8923,2025
353130,3531308,Monte Alto - SP,48758,2025
353140,3531407,Monte Aprazível - SP,22668,2025
353150,3531506,Monte Azul Paulista - SP,18337,2025
353160,3531605,Monte Castelo - SP,4306,2025
353170,3531704,Monteiro Lobato - SP,4205,2025
353180,3531803,Monte Mor - SP,67832,2025
353190,3531902,Morro Agudo - SP,28521,2025
353200,3532009,Morungaba - SP,14147,2025
353205,3532058,Motuca - SP,4071,2025
353210,3532108,Murutinga do Sul - SP,3748,2025
353215,3532157,Nantes - SP,2697,2025
353220,3532207,Narandiba - SP,5956,2025
353230,3532306,Natividade da Serra - SP,7155,2025
353240,3532405,Nazaré Paulista - SP,18675,2025
353250,3532504,Neves Paulista - SP,9953,2025
353260,3532603,Nhandeara - SP,9915,2025
353270,3532702,Nipoã - SP,4876,2025
353280,3532801,Nova Aliança - SP,6885,2025
353282,3532827,Nova Campina - SP,8630,2025
353284,3532843,Nova Canaã Paulista - SP,2055,2025
353286,3532868,Nova Castilho - SP,1072,2025
353290,3532900,Nova Europa - SP,9459,2025
353300,3533007,Nova Granada - SP,19733,2025
353310,3533106,Nova Guataporanga - SP,2188,2025
353320,3533205,Nova Independência - SP,4847,2025
353325,3533254,Novais - SP,4463,2025
353330,3533304,Nova Luzitânia - SP,2817,2025
353340,3533403,Nova Odessa - SP,64596,2025
353350,3533502,Novo Horizonte - SP,39494,2025
353360,3533601,Nuporanga - SP,7570,2025
353370,3533700,Ocauçu - SP,4418,2025
353380,3533809,Óleo - SP,2535,2025
353390,3533908,Olímpia - SP,56874,2025
353400,3534005,Onda Verde - SP,4942,2025
353410,3534104,Oriente - SP,6180,2025
353420,3534203,Orindiúva - SP,6157,2025
353430,3534302,Orlândia - SP,39144,2025
353440,3534401,Osasco - SP,759524,2025
353450,3534500,Oscar Bressane - SP,2502,2025
353460,3534609,Osvaldo Cruz - SP,32112,2025
353470,3534708,Ourinhos - SP,106911,2025
353475,3534757,Ouroeste - SP,10660,2025
353480,3534807,Ouro Verde - SP,7900,2025
353490,3534906,Pacaembu - SP,15273,2025
353500,3535002,Palestina - SP,11704,2025
353510,3535101,Palmares Paulista - SP,9666,2025
353520,3535200,Palmeira d'Oeste - SP,8971,2025
353530,3535309,Palmital - SP,19714,2025
353540,3535408,Panorama - SP,15227,2025
353550,3535507,Paraguaçu Paulista - SP,42049,2025
