codigo,codigo_ibge,municipio,regiao_imediata,regiao_intermediaria,mesorregiao
351160,3511607,Cesário Lange,Tatuí,Sorocaba,Itapetininga
351170,3511706,Charqueada,Piracicaba,Campinas,Piracicaba
351190,3511904,Clementina,Birigui - Penápolis,Araçatuba,Araçatuba
351200,3512001,Colina,Barretos,Ribeirão Preto,Ribeirão Preto
351210,3512100,Colômbia,Barretos,Ribeirão Preto,Ribeirão Preto
351220,3512209,Conchal,Araras,Campinas,Piracicaba
351230,3512308,Conchas,Botucatu,Bauru,Bauru
351240,3512407,Cordeirópolis,Limeira,Campinas,Piracicaba
351250,3512506,Coroados,Birigui - Penápolis,Araçatuba,Araçatuba
351260,3512605,Coronel Macedo,Avaré,Sorocaba,Itapetininga
351270,3512704,Corumbataí,Rio Claro,Campinas,Piracicaba
351280,3512803,Cosmópolis,Campinas,Campinas,Campinas
351290,3512902,Cosmorama,Votuporanga,São José do Rio Preto,São José do Rio Preto
351300,3513009,Cotia,São Paulo,São Paulo,Metropolitana de São Paulo
351310,3513108,Cravinhos,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
351320,3513207,Cristais Paulista,Franca,Ribeirão Preto,Ribeirão Preto
351330,3513306,Cruzália,Assis,Marília,Assis
351340,3513405,Cruzeiro,Cruzeiro,São José dos Campos,Vale do Paraíba Paulista
351350,3513504,Cubatão,Santos,São Paulo,Metropolitana de São Paulo
351360,3513603,Cunha,Guaratinguetá,São José dos Campos,Vale do Paraíba Paulista
351370,3513702,Descalvado,São Carlos,Araraquara,Araraquara
351380,3513801,Diadema,São Paulo,São Paulo,Metropolitana de São Paulo
351385,3513850,Dirce Reis,Jales,São José do Rio Preto,São José do Rio Preto
351390,3513900,Divinolândia,São José do Rio Pardo - Mococa,Campinas,Campinas
351400,3514007,Dobrada,Araraquara,Araraquara,Araraquara
351410,3514106,Dois Córregos,Jaú,Bauru,Bauru
351420,3514205,Dolcinópolis,Jales,São José do Rio Preto,São José do Rio Preto
351430,3514304,Dourado,São Carlos,Araraquara,Araraquara
351440,3514403,Dracena,Dracena,Presidente Prudente,Presidente Prudente
351450,3514502,Duartina,Bauru,Bauru,Bauru
351460,3514601,Dumont,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
351470,3514700,Echaporã,Marília,Marília,Marília
351480,3514809,Eldorado,Registro,Sorocaba,Litoral Sul Paulista
351490,3514908,Elias Fausto,Campinas,Campinas,Campinas
351492,3514924,Elisiário,Catanduva,São José do Rio Preto,São José do Rio Preto
351495,3514957,Embaúba,Catanduva,São José do Rio Preto,São José do Rio Preto
351500,3515004,Embu das Artes,São Paulo,São Paulo,Metropolitana de São Paulo
351510,3515103,Embu-Guaçu,São Paulo,São Paulo,Metropolitana de São Paulo
351512,3515129,Emilianópolis,Presidente Prudente,Presidente Prudente,Presidente Prudente
351515,3515152,Engenheiro Coelho,Limeira,Campinas,Campinas
351518,3515186,Espírito Santo do Pinhal,São João da Boa Vista,Campinas,Campinas
351519,3515194,Espírito Santo do Turvo,Ourinhos,Marília,Assis
351520,3515202,Estrela d'Oeste,Fernandópolis,São José do Rio Preto,São José do Rio Preto
351530,3515301,Estrela do Norte,Presidente Prudente,Presidente Prudente,Presidente Prudente
351535,3515350,Euclides da Cunha Paulista,Presidente Prudente,Presidente Prudente,Presidente Prudente
351540,3515400,Fartura,Piraju,Marília,Assis
351550,3515509,Fernandópolis,Fernandópolis,São José do Rio Preto,São José do Rio Preto
351560,3515608,Fernando Prestes,Catanduva,São José do Rio Preto,Ribeirão Preto
351565,3515657,Fernão,Marília,Marília,Marília
351570,3515707,Ferraz de Vasconcelos,São Paulo,São Paulo,Metropolitana de São Paulo
351580,3515806,Flora Rica,Dracena,Presidente Prudente,Presidente Prudente
351590,3515905,Floreal,Votuporanga,São José do Rio Preto,São José do Rio Preto
351600,3516002,Flórida Paulista,Adamantina - Lucélia,Presidente Prudente,Presidente Prudente
351610,3516101,Florínea,Assis,Marília,Assis
351620,3516200,Franca,Franca,Ribeirão Preto,Ribeirão Preto
351630,3516309,Francisco Morato,São Paulo,São Paulo,Metropolitana de São Paulo
