codigo,municipio,periodo,valor_total
350635,BERTIOGA,2025/Set,135087.71
350635,BERTIOGA,2025/Out,148291.83
350635,BERTIOGA,2025/Nov,149095.23
350635,BERTIOGA,2025/Dez,127940.17
350635,BERTIOGA,2026/Jan,169625.29
350635,BERTIOGA,2026/Fev,182402.19
350635,BERTIOGA,2026/Mar,220154.97
350635,BERTIOGA,2026/Abr,258355.8
350635,BERTIOGA,2026/Mai,301849.03
350635,BERTIOGA,2026/Jun,254810.16
350640,BILAC,2025/Jul,7581.71
350640,BILAC,2025/Ago,8443.26
350640,BILAC,2025/Set,9973.63
350640,BILAC,2025/Out,9431.81
350640,BILAC,2025/Nov,6398.8
350640,BILAC,2025/Dez,6411.38
350640,BILAC,2026/Jan,3485.53
350640,BILAC,2026/Fev,4796.74
350640,BILAC,2026/Mar,5482.13
350640,BILAC,2026/Abr,5017.72
350640,BILAC,2026/Mai,4863.87
350640,BILAC,2026/Jun,7737.64
350650,BIRIGUI,2025/Jul,458164.35
350650,BIRIGUI,2025/Ago,460613.16
350650,BIRIGUI,2025/Set,447359.49
350650,BIRIGUI,2025/Out,490285.19
350650,BIRIGUI,2025/Nov,393432.2
350650,BIRIGUI,2025/Dez,502887.13
350650,BIRIGUI,2026/Jan,391788.77
350650,BIRIGUI,2026/Fev,483105.03
350650,BIRIGUI,2026/Mar,387433.03
350650,BIRIGUI,2026/Abr,482903.88
350650,BIRIGUI,2026/Mai,398287.47
350650,BIRIGUI,2026/Jun,462900.88
350670,BOA ESPERANCA DO SUL,2025/Jul,5240.62
350670,BOA ESPERANCA DO SUL,2025/Ago,4714.92
350670,BOA ESPERANCA DO SUL,2025/Set,3947.69
350670,BOA ESPERANCA DO SUL,2025/Out,3667.95
350670,BOA ESPERANCA DO SUL,2025/Nov,6596.47
350670,BOA ESPERANCA DO SUL,2025/Dez,7132.15
350670,BOA ESPERANCA DO SUL,2026/Jan,4153.02
350670,BOA ESPERANCA DO SUL,2026/Fev,3928.54
350670,BOA ESPERANCA DO SUL,2026/Mar,6881.15
350670,BOA ESPERANCA DO SUL,2026/Abr,3009.12
350670,BOA ESPERANCA DO SUL,2026/Mai,3468.39
350670,BOA ESPERANCA DO SUL,2026/Jun,8763.83
350680,BOCAINA,2025/Jul,7607.73
350680,BOCAINA,2025/Ago,6402.9
350680,BOCAINA,2025/Set,7128.43
350680,BOCAINA,2025/Out,7109.02
350680,BOCAINA,2025/Nov,4647.9
350680,BOCAINA,2025/Dez,4190.6
350680,BOCAINA,2026/Jan,6438.11
350680,BOCAINA,2026/Fev,5073.34
350680,BOCAINA,2026/Mar,6942.82
350680,BOCAINA,2026/Abr,6312.67
350680,BOCAINA,2026/Mai,6269.72
350680,BOCAINA,2026/Jun,7545.23
350700,BOITUVA,2025/Jul,124853.52
350700,BOITUVA,2025/Ago,134378.93
350700,BOITUVA,2025/Set,122346.24
350700,BOITUVA,2025/Out,124937.04
350700,BOITUVA,2025/Nov,107088.91
350700,BOITUVA,2025/Dez,82475.66
350700,BOITUVA,2026/Jan,95937.61
350700,BOITUVA,2026/Fev,90127.85
350700,BOITUVA,2026/Mar,119631.45
350700,BOITUVA,2026/Abr,96419.67
350700,BOITUVA,2026/Mai,119436.89
350700,BOITUVA,2026/Jun,118407.38
350710,BOM JESUS DOS PERDOES,2025/Jul,7765.63
350710,BOM JESUS DOS PERDOES,2025/Ago,9016.76
350710,BOM JESUS DOS PERDOES,2025/Set,5904.82
350710,BOM JESUS DOS PERDOES,2025/Out,5224.14
350710,BOM JESUS DOS PERDOES,2025/Nov,7458.79
350710,BOM JESUS DOS PERDOES,2025/Dez,6232.68
350710,BOM JESUS DOS PERDOES,2026/Jan,8068.74
350710,BOM JESUS DOS PERDOES,2026/Fev,3559.78
350710,BOM JESUS DOS PERDOES,2026/Mar,7602.02
350710,BOM JESUS DOS PERDOES,2026/Abr,7539.11
350710,BOM JESUS DOS PERDOES,2026/Mai,8676.73
350740,BORBOREMA,2025/Jul,35595.02
350740,BORBOREMA,2025/Ago,38638.02
350740,BORBOREMA,2025/Set,37096.98
350740,BORBOREMA,2025/Out,33631.69
350740,BORBOREMA,2025/Nov,43205.21
350740,BORBOREMA,2025/Dez,41121.58
350740,BORBOREMA,2026/Jan,32400.37
350740,BORBOREMA,2026/Fev,35703.11
350740,BORBOREMA,2026/Mar,33303.24
350740,BORBOREMA,2026/Abr,30095.36
350740,BORBOREMA,2026/Mai,60757.38
350740,BORBOREMA,2026/Jun,38308.28
350750,BOTUCATU,2025/Jul,8003741.68
350750,BOTUCATU,2025/Ago,8304199.46
350750,BOTUCATU,2025/Set,6887340.66
350750,BOTUCATU,2025/Out,7289791.33
350750,BOTUCATU,2025/Nov,8650658.76
350750,BOTUCATU,2025/Dez,7934587.93
350750,BOTUCATU,2026/Jan,7703810.76
350750,BOTUCATU,2026/Fev,7577862.77
350750,BOTUCATU,2026/Mar,8159039.06
350750,BOTUCATU,2026/Abr,7095855.44
350750,BOTUCATU,2026/Mai,7429997.06
350750,BOTUCATU,2026/Jun,6819797.02
350760,BRAGANCA PAULISTA,2025/Jul,3914603.65
350760,BRAGANCA PAULISTA,2025/Ago,3338609.0
350760,BRAGANCA PAULISTA,2025/Set,3000954.4
350760,BRAGANCA PAULISTA,2025/Out,2973476.42
350760,BRAGANCA PAULISTA,2025/Nov,3169495.57
350760,BRAGANCA PAULISTA,2025/Dez,2452926.25
350760,BRAGANCA PAULISTA,2026/Jan,3346129.48
350760,BRAGANCA PAULISTA,2026/Fev,3614666.46
350760,BRAGANCA PAULISTA,2026/Mar,3699494.26
350760,BRAGANCA PAULISTA,2026/Abr,3659193.14
350760,BRAGANCA PAULISTA,2026/Mai,3243051.26
350760,BRAGANCA PAULISTA,2026/Jun,3284259.06
