codigo,municipio,capitulo_cid10,internacoes
350220,ANGATUBA,Cap 02,41.0
350220,ANGATUBA,Cap 03,50.0
350220,ANGATUBA,Cap 04,58.0
350220,ANGATUBA,Cap 05,36.0
350220,ANGATUBA,Cap 06,22.0
350220,ANGATUBA,Cap 07,2.0
350220,ANGATUBA,Cap 08,3.0
350220,ANGATUBA,Cap 09,189.0
350220,ANGATUBA,Cap 10,312.0
350220,ANGATUBA,Cap 11,146.0
350220,ANGATUBA,Cap 12,52.0
350220,ANGATUBA,Cap 13,15.0
350220,ANGATUBA,Cap 14,129.0
350220,ANGATUBA,Cap 15,329.0
350220,ANGATUBA,Cap 16,21.0
350220,ANGATUBA,Cap 17,1.0
350220,ANGATUBA,Cap 18,88.0
350220,ANGATUBA,Cap 19,172.0
350220,ANGATUBA,Cap 21,83.0
350250,APARECIDA,Cap 01,272.0
350250,APARECIDA,Cap 02,474.0
350250,APARECIDA,Cap 03,48.0
350250,APARECIDA,Cap 04,62.0
350250,APARECIDA,Cap 05,6.0
350250,APARECIDA,Cap 06,125.0
350250,APARECIDA,Cap 07,542.0
350250,APARECIDA,Cap 08,2.0
350250,APARECIDA,Cap 09,695.0
350250,APARECIDA,Cap 10,436.0
350250,APARECIDA,Cap 11,505.0
350250,APARECIDA,Cap 12,198.0
350250,APARECIDA,Cap 13,113.0
350250,APARECIDA,Cap 14,1091.0
350250,APARECIDA,Cap 16,7.0
350250,APARECIDA,Cap 17,4.0
350250,APARECIDA,Cap 18,17.0
350250,APARECIDA,Cap 19,412.0
350250,APARECIDA,Cap 21,136.0
350260,APARECIDA D'OESTE,Cap 01,20.0
350260,APARECIDA D'OESTE,Cap 03,5.0
350260,APARECIDA D'OESTE,Cap 04,9.0
350260,APARECIDA D'OESTE,Cap 05,1.0
350260,APARECIDA D'OESTE,Cap 06,1.0
350260,APARECIDA D'OESTE,Cap 09,4.0
350260,APARECIDA D'OESTE,Cap 10,31.0
350260,APARECIDA D'OESTE,Cap 12,2.0
350260,APARECIDA D'OESTE,Cap 13,4.0
350260,APARECIDA D'OESTE,Cap 14,9.0
350260,APARECIDA D'OESTE,Cap 18,3.0
350270,APIAI,Cap 01,95.0
350270,APIAI,Cap 02,40.0
